iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.74568,0.82675,0.69161,0.05777549,0.0859358,0.014807578,2025-03-19 09:52:40
280,0.75552,0.8279,0.69986,0.08084551,0.12492471,0.018383166,2025-03-19 09:54:13
420,0.76015,0.82772,0.70104,0.09297777,0.14534338,0.020306135,2025-03-19 09:55:44
560,0.75959,0.82515,0.69688,0.0968426,0.15247954,0.020602845,2025-03-19 09:57:14
700,0.75688,0.82302,0.69156,0.09678683,0.15319546,0.020189082,2025-03-19 09:58:46
840,0.75635,0.82172,0.68913,0.09504798,0.15113427,0.019480802,2025-03-19 10:00:15
980,0.7553,0.82057,0.68744,0.09263883,0.14787573,0.018700821,2025-03-19 10:01:43
1120,0.7534,0.81958,0.68524,0.09009487,0.14425306,0.017968224,2025-03-19 10:03:13
1260,0.75318,0.81915,0.68421,0.08761671,0.14064893,0.01729216,2025-03-19 10:04:42
1400,0.75312,0.81897,0.6836,0.085245624,0.13715601,0.016667563,2025-03-19 10:06:12
1540,0.75278,0.81837,0.68251,0.08301199,0.13382317,0.016100356,2025-03-19 10:07:41
1680,0.75242,0.818,0.68177,0.08092513,0.13067472,0.015587717,2025-03-19 10:09:10
1820,0.75181,0.8174,0.68043,0.07897852,0.1277098,0.015123547,2025-03-19 10:10:38
1960,0.75109,0.81653,0.67839,0.07716407,0.12492315,0.014702444,2025-03-19 10:12:10
2100,0.75125,0.8165,0.67831,0.075466685,0.12230124,0.0143159935,2025-03-19 10:13:41
2240,0.75101,0.81602,0.67726,0.0738759,0.119832136,0.013959759,2025-03-19 10:15:13
2380,0.75137,0.81628,0.67776,0.07238437,0.11750592,0.013631372,2025-03-19 10:16:44
2520,0.75081,0.8156,0.67621,0.07097995,0.11530869,0.0133256065,2025-03-19 10:18:15
2660,0.75082,0.81582,0.6766,0.06965713,0.113231584,0.0130413305,2025-03-19 10:19:46
