iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.59704,0.63545,0.4725,0.06206589,0.11118129,0.012950456,2025-03-21 23:28:03
280,0.61738,0.64462,0.48836,0.08102231,0.14628144,0.015763255,2025-03-21 23:29:09
420,0.63811,0.65912,0.50869,0.09412501,0.16985424,0.018395899,2025-03-21 23:30:15
560,0.65052,0.66758,0.52107,0.10340957,0.18608809,0.020731166,2025-03-21 23:31:20
700,0.65565,0.67025,0.52536,0.11015247,0.19757104,0.022733852,2025-03-21 23:32:24
840,0.65818,0.6718,0.52718,0.11507452,0.2057766,0.024372414,2025-03-21 23:33:29
980,0.66037,0.67412,0.52923,0.11863315,0.21156363,0.025702579,2025-03-21 23:34:33
1120,0.66065,0.67482,0.52973,0.12124168,0.2156986,0.026784584,2025-03-21 23:35:37
1260,0.65996,0.6742,0.529,0.123106204,0.21853974,0.027672524,2025-03-21 23:36:40
1400,0.6591,0.67348,0.52823,0.12435631,0.22032219,0.028390203,2025-03-21 23:37:43
1540,0.65823,0.67292,0.52762,0.12514757,0.22133194,0.02896292,2025-03-21 23:38:46
1680,0.65768,0.6726,0.52727,0.1255983,0.22177789,0.029418366,2025-03-21 23:39:49
1820,0.65779,0.67258,0.52733,0.12580308,0.22182657,0.029779153,2025-03-21 23:40:53
1960,0.65783,0.67265,0.52738,0.12583475,0.22160546,0.030063665,2025-03-21 23:41:56
2100,0.65772,0.67275,0.52757,0.1257456,0.22120453,0.030286307,2025-03-21 23:42:59
2240,0.65777,0.67287,0.5277,0.12557437,0.22068717,0.03046136,2025-03-21 23:44:03
2380,0.65792,0.67323,0.528,0.12534942,0.22009906,0.03059945,2025-03-21 23:45:07
2520,0.65801,0.67328,0.52803,0.12509102,0.21947327,0.03070852,2025-03-21 23:46:11
2660,0.65807,0.67333,0.52813,0.124813765,0.2188325,0.030794784,2025-03-21 23:47:13
