iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.71279,0.77123,0.62143,0.09462763,0.15995495,0.014650172,2025-03-19 13:29:26
280,0.72529,0.78193,0.6454,0.1070752,0.17933068,0.017409887,2025-03-19 13:30:50
420,0.73686,0.79163,0.6632,0.11610968,0.19255699,0.0198312,2025-03-19 13:32:15
560,0.74094,0.79413,0.66758,0.122195736,0.20090884,0.021741321,2025-03-19 13:33:43
700,0.74213,0.79445,0.6668,0.12602292,0.20583001,0.023107918,2025-03-19 13:35:12
840,0.74,0.79047,0.66121,0.12841746,0.20858611,0.024124458,2025-03-19 13:36:39
980,0.73871,0.78703,0.65699,0.12984239,0.20980656,0.024939144,2025-03-19 13:38:07
1120,0.7364,0.78352,0.65244,0.13058731,0.21012433,0.02552524,2025-03-19 13:39:35
