iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.49897,0.56273,0.38056,0.18544132,0.786329,0.10680848,2025-03-21 21:31:36
280,0.52716,0.56635,0.40736,0.107923456,0.42103085,0.065820396,2025-03-21 21:32:39
420,0.53826,0.58193,0.42081,0.08024864,0.31047553,0.049201082,2025-03-21 21:33:43
560,0.55753,0.6289,0.46555,0.065943055,0.25552994,0.040390037,2025-03-21 21:34:46
700,0.56437,0.639,0.47903,0.057575084,0.22649747,0.03492534,2025-03-21 21:35:51
840,0.56568,0.63882,0.48051,0.051759884,0.20596461,0.031163452,2025-03-21 21:36:56
980,0.56173,0.6348,0.4758,0.047314797,0.18969297,0.028345522,2025-03-21 21:37:59
1120,0.56119,0.63347,0.47455,0.04374007,0.17628662,0.026111418,2025-03-21 21:39:03
1260,0.56098,0.63265,0.47322,0.040798537,0.16503598,0.024294954,2025-03-21 21:40:06
1400,0.56072,0.6323,0.4727,0.038356535,0.15558067,0.022798484,2025-03-21 21:41:11
1540,0.56069,0.63227,0.47277,0.03631357,0.14759521,0.021554068,2025-03-21 21:42:15
1680,0.5605,0.63215,0.4725,0.034588244,0.14081074,0.020507202,2025-03-21 21:43:19
1820,0.56055,0.63225,0.47255,0.033117957,0.13501135,0.019616839,2025-03-21 21:44:22
