iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.77085,0.84232,0.72805,0.028168727,0.18883449,0.009285264,2025-03-21 14:32:50
280,0.78072,0.84907,0.74229,0.02995975,0.20679049,0.009280705,2025-03-21 14:34:18
420,0.78478,0.85157,0.74787,0.031156616,0.2188503,0.009271584,2025-03-21 14:35:47
560,0.78652,0.85253,0.75017,0.03198493,0.22719422,0.009265493,2025-03-21 14:37:17
700,0.78782,0.8536,0.75209,0.03262069,0.23356792,0.009263907,2025-03-21 14:38:46
840,0.78801,0.85383,0.75249,0.033114232,0.23851334,0.009262889,2025-03-21 14:40:14
