iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.70143,0.75563,0.6031,0.02777176,0.17591472,0.010180281,2025-03-21 15:55:24
280,0.70775,0.76235,0.61437,0.02956544,0.19438274,0.010127172,2025-03-21 15:56:54
420,0.71446,0.76975,0.62699,0.030799324,0.20683056,0.010116264,2025-03-21 15:58:26
560,0.71656,0.77213,0.63079,0.031726047,0.21611139,0.010114887,2025-03-21 15:59:58
700,0.7187,0.77463,0.63496,0.03243312,0.22313744,0.010119352,2025-03-21 16:01:30
840,0.72,0.77667,0.63806,0.032988492,0.2286286,0.01012561,2025-03-21 16:03:03
980,0.72021,0.77688,0.63843,0.03342372,0.23296502,0.0101271905,2025-03-21 16:04:34
