iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.58726,0.63163,0.46551,0.023486571,0.14844906,0.008641671,2025-03-21 23:02:02
280,0.58893,0.62925,0.46494,0.025182815,0.16514558,0.008668273,2025-03-21 23:03:10
420,0.59295,0.62828,0.46712,0.02647013,0.17743939,0.008726218,2025-03-21 23:04:16
560,0.59628,0.62765,0.46918,0.027481496,0.1869764,0.008783863,2025-03-21 23:05:22
700,0.60158,0.6279,0.47313,0.028308302,0.19470139,0.00883816,2025-03-21 23:06:28
840,0.6051,0.62743,0.47562,0.028997814,0.20110601,0.008887209,2025-03-21 23:07:35
980,0.60925,0.62857,0.47911,0.029585274,0.20650707,0.0089345705,2025-03-21 23:08:40
1120,0.6133,0.62925,0.48252,0.030102856,0.21121451,0.008981421,2025-03-21 23:09:46
1260,0.61849,0.63095,0.48718,0.030564196,0.21537854,0.009026383,2025-03-21 23:10:52
1400,0.62203,0.63188,0.49045,0.030975731,0.21907756,0.009067997,2025-03-21 23:11:57
1540,0.62578,0.6353,0.49382,0.031343874,0.22237399,0.009106518,2025-03-21 23:13:05
1680,0.62824,0.63843,0.49647,0.031674553,0.22532593,0.0091419965,2025-03-21 23:14:12
1820,0.63063,0.64073,0.49876,0.03197302,0.22798656,0.009174403,2025-03-21 23:15:18
1960,0.63319,0.64302,0.50114,0.032242753,0.23039201,0.0092035895,2025-03-21 23:16:24
2100,0.63553,0.64565,0.50372,0.032487214,0.23257358,0.009229908,2025-03-21 23:17:29
2240,0.63699,0.64728,0.5052,0.03270977,0.23456056,0.009253766,2025-03-21 23:18:35
2380,0.63841,0.64913,0.50683,0.032913156,0.23637898,0.009275325,2025-03-21 23:19:42
2520,0.6396,0.65038,0.50812,0.03309952,0.2380476,0.00929482,2025-03-21 23:20:48
2660,0.64075,0.65167,0.50926,0.033270787,0.23958185,0.0093126595,2025-03-21 23:21:54
2800,0.64165,0.65253,0.51019,0.033428803,0.2409985,0.009329015,2025-03-21 23:23:00
2940,0.64236,0.65332,0.51101,0.03357489,0.24230845,0.009344106,2025-03-21 23:24:06
3080,0.64318,0.65398,0.51189,0.033710282,0.24352294,0.009358038,2025-03-21 23:25:13
3220,0.64348,0.65435,0.51224,0.033836003,0.24465123,0.009370936,2025-03-21 23:26:21
