iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.69297,0.69728,0.57451,0.034650125,0.21507849,0.013142276,2025-03-21 16:25:44
280,0.70176,0.7032,0.58969,0.03539895,0.22364001,0.013034964,2025-03-21 16:27:09
420,0.70713,0.71037,0.59907,0.035950154,0.22996117,0.012954026,2025-03-21 16:28:36
560,0.70953,0.71368,0.60372,0.03634096,0.23457418,0.01288353,2025-03-21 16:30:02
700,0.71153,0.71553,0.60673,0.036631253,0.2380894,0.012822317,2025-03-21 16:31:31
840,0.71255,0.71687,0.60881,0.03685894,0.24091162,0.01276777,2025-03-21 16:33:01
980,0.71342,0.71737,0.60998,0.03704398,0.24323782,0.01272022,2025-03-21 16:34:29
1120,0.71404,0.71775,0.61091,0.037199933,0.24521153,0.012678787,2025-03-21 16:35:56
1260,0.7145,0.71802,0.61157,0.03733223,0.24690177,0.012642055,2025-03-21 16:37:23
1400,0.71483,0.71827,0.61214,0.03744513,0.248357,0.0126094315,2025-03-21 16:38:50
1540,0.71508,0.71843,0.61249,0.037542585,0.24961759,0.012580817,2025-03-21 16:40:17
