iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.77159,0.84262,0.72911,0.028170597,0.18883057,0.009287535,2025-03-21 14:15:22
280,0.78101,0.8491,0.74272,0.029967299,0.20683809,0.009283493,2025-03-21 14:16:50
420,0.78506,0.85173,0.74847,0.031166572,0.21891542,0.009275025,2025-03-21 14:18:19
560,0.787,0.85295,0.75086,0.031996604,0.2272969,0.009266889,2025-03-21 14:19:47
700,0.78778,0.85338,0.75209,0.03262989,0.2336562,0.009264266,2025-03-21 14:21:16
840,0.78826,0.85372,0.75277,0.03312253,0.23860455,0.009262059,2025-03-21 14:22:44
980,0.78836,0.85377,0.7529,0.033505045,0.24244545,0.009260468,2025-03-21 14:24:12
