iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.57567,0.59877,0.44714,0.09814471,0.11880776,0.0154924635,2025-03-22 20:59:53
280,0.59573,0.61328,0.46972,0.12277569,0.14815952,0.021240165,2025-03-22 21:00:59
420,0.6118,0.62322,0.48595,0.14234973,0.17141268,0.026098048,2025-03-22 21:02:04
560,0.61936,0.62633,0.49219,0.1567143,0.18847275,0.029680042,2025-03-22 21:03:10
700,0.62155,0.62728,0.49374,0.16684687,0.2004737,0.0323392,2025-03-22 21:04:15
840,0.62334,0.62828,0.49492,0.17425714,0.20922005,0.034405213,2025-03-22 21:05:20
980,0.62328,0.62817,0.49427,0.1799133,0.21587852,0.0360522,2025-03-22 21:06:27
1120,0.62205,0.62697,0.49231,0.18428862,0.22101283,0.037391543,2025-03-22 21:07:33
1260,0.62142,0.62623,0.49115,0.18777034,0.22508755,0.038501307,2025-03-22 21:08:39
1400,0.62099,0.62597,0.4905,0.19058798,0.22837675,0.03943293,2025-03-22 21:09:44
