iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.69807,0.71433,0.59265,0.09202206,0.15467726,0.014683439,2025-03-19 11:33:15
280,0.70269,0.72128,0.59851,0.10516293,0.1751136,0.017606137,2025-03-19 11:34:44
420,0.7112,0.73163,0.60741,0.114880085,0.18974747,0.020006392,2025-03-19 11:36:14
560,0.71346,0.73787,0.60897,0.121589154,0.1992815,0.02194842,2025-03-19 11:37:43
700,0.71445,0.74278,0.61246,0.12603557,0.2049473,0.023562007,2025-03-19 11:39:14
840,0.71546,0.74667,0.61468,0.12876157,0.2079726,0.024775336,2025-03-19 11:40:44
980,0.71601,0.74683,0.61569,0.13028833,0.20935744,0.025609726,2025-03-19 11:42:13
1120,0.71578,0.7461,0.61552,0.13103858,0.20978564,0.026145868,2025-03-19 11:43:43
1260,0.71741,0.74768,0.61791,0.13131315,0.20969006,0.026468154,2025-03-19 11:45:12
1400,0.71833,0.7486,0.6195,0.13126132,0.20924218,0.026640387,2025-03-19 11:46:40
1540,0.71873,0.7488,0.6202,0.13097072,0.20851907,0.026711322,2025-03-19 11:48:06
1680,0.71922,0.74973,0.62124,0.13049605,0.20758401,0.026704261,2025-03-19 11:49:33
1820,0.71928,0.75033,0.62189,0.12989542,0.20651762,0.026636766,2025-03-19 11:51:00
1960,0.71959,0.75093,0.62252,0.12922128,0.20538688,0.026527988,2025-03-19 11:52:28
2100,0.71982,0.75113,0.62304,0.12849565,0.20420155,0.026395079,2025-03-19 11:53:56
2240,0.72002,0.75155,0.62363,0.12772197,0.20295304,0.0262456,2025-03-19 11:55:25
2380,0.72043,0.75208,0.62429,0.12692116,0.20167226,0.0260852,2025-03-19 11:56:51
2520,0.72059,0.75248,0.62478,0.12610763,0.20038316,0.025916167,2025-03-19 11:58:18
2660,0.72082,0.75283,0.62515,0.12529384,0.1990962,0.025745858,2025-03-19 11:59:45
2800,0.72063,0.75297,0.62511,0.12448765,0.19781084,0.02558228,2025-03-19 12:01:12
2940,0.72057,0.75315,0.62523,0.123678945,0.19651726,0.025420334,2025-03-19 12:02:39
3080,0.72052,0.75325,0.62545,0.12286814,0.19522552,0.025255363,2025-03-19 12:04:06
3220,0.72065,0.75372,0.62595,0.12205962,0.19394138,0.025088934,2025-03-19 12:05:34
3360,0.72093,0.75407,0.6264,0.121255785,0.19266813,0.024921741,2025-03-19 12:07:00
3500,0.72091,0.75423,0.62659,0.120459616,0.19140905,0.02475509,2025-03-19 12:08:27
3640,0.72107,0.7544,0.62684,0.11967303,0.19016686,0.024589635,2025-03-19 12:09:53
