iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.75603,0.81762,0.70229,0.06192482,0.089057274,0.017396199,2025-03-19 10:22:30
280,0.76679,0.81667,0.71153,0.085789725,0.13107769,0.020250848,2025-03-19 10:23:59
420,0.76699,0.81798,0.71216,0.09630106,0.14960434,0.02149883,2025-03-19 10:25:28
560,0.76637,0.8185,0.71338,0.09850399,0.15455404,0.02122693,2025-03-19 10:26:57
700,0.76092,0.81723,0.70709,0.09731336,0.15366992,0.020478407,2025-03-19 10:28:27
840,0.75803,0.81593,0.70268,0.09489577,0.15056878,0.019611385,2025-03-19 10:29:58
980,0.75604,0.81442,0.69984,0.092173964,0.14680257,0.018772654,2025-03-19 10:31:27
1120,0.75562,0.81388,0.69913,0.08945896,0.14291719,0.018000415,2025-03-19 10:32:55
1260,0.7548,0.81287,0.69734,0.086870134,0.13913576,0.01730234,2025-03-19 10:34:22
1400,0.75399,0.81198,0.6961,0.084456004,0.13555731,0.016677435,2025-03-19 10:35:50
1540,0.75323,0.81125,0.69499,0.08221719,0.13220297,0.016115772,2025-03-19 10:37:18
1680,0.75268,0.81065,0.6942,0.0801426,0.12906824,0.015608573,2025-03-19 10:38:46
1820,0.75205,0.81007,0.6933,0.07821741,0.1261389,0.015148075,2025-03-19 10:40:16
1960,0.7516,0.80963,0.6926,0.07642876,0.12340086,0.014728417,2025-03-19 10:41:44
2100,0.75142,0.80933,0.69227,0.074764125,0.12084038,0.014344027,2025-03-19 10:43:13
2240,0.75132,0.80905,0.69183,0.07320947,0.11844022,0.013989489,2025-03-19 10:44:40
2380,0.75104,0.80887,0.69156,0.071755156,0.116186015,0.013662263,2025-03-19 10:46:08
