iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.80162,0.89293,0.78197,0.023754703,0.16345896,0.0074088112,2025-03-21 15:40:01
280,0.80861,0.89857,0.79276,0.026185248,0.18807061,0.0073781935,2025-03-21 15:41:34
420,0.81206,0.90153,0.79843,0.027833613,0.20431405,0.007402202,2025-03-21 15:43:06
560,0.81397,0.90315,0.80149,0.029048776,0.21609062,0.007439701,2025-03-21 15:44:39
700,0.81489,0.90383,0.80284,0.029977806,0.2250883,0.007468967,2025-03-21 15:46:13
840,0.81525,0.90413,0.80338,0.030696137,0.23204607,0.007491517,2025-03-21 15:47:47
980,0.8153,0.90417,0.80345,0.03125273,0.2374416,0.00750855,2025-03-21 15:49:18
