iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.71552,0.7516,0.63756,0.027074685,0.17774884,0.009299801,2025-03-21 00:16:04
280,0.72299,0.75493,0.64779,0.028819848,0.19500023,0.009319827,2025-03-21 00:17:11
420,0.7261,0.7559,0.65221,0.030020194,0.20667313,0.009352876,2025-03-21 00:18:17
560,0.72834,0.75678,0.65544,0.030883016,0.21512422,0.0093706045,2025-03-21 00:19:23
700,0.72958,0.757,0.65694,0.03152727,0.22152278,0.009374987,2025-03-21 00:20:29
840,0.73012,0.75715,0.65756,0.032014497,0.22640565,0.009373924,2025-03-21 00:21:37
980,0.73029,0.75722,0.65771,0.032387946,0.23015612,0.009372324,2025-03-21 00:22:44
