iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.77342,0.8439,0.73189,0.028219689,0.1892289,0.009296802,2025-03-21 11:36:49
280,0.78217,0.85005,0.74488,0.030046245,0.20753257,0.00929299,2025-03-21 11:38:18
420,0.78538,0.85205,0.74924,0.031246608,0.21959215,0.009287404,2025-03-21 11:39:45
560,0.78718,0.85313,0.75164,0.03208176,0.22800314,0.009281452,2025-03-21 11:41:15
700,0.78808,0.85375,0.7529,0.032709762,0.23432943,0.009276823,2025-03-21 11:42:43
840,0.78844,0.85397,0.75331,0.03319691,0.2392116,0.009275759,2025-03-21 11:44:12
980,0.78867,0.8541,0.75353,0.033578508,0.24302839,0.009275684,2025-03-21 11:45:41
