iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.56755,0.65365,0.49465,0.18417303,0.7690451,0.10726848,2025-03-21 21:46:03
280,0.59874,0.67433,0.52444,0.109494776,0.42420357,0.06707436,2025-03-21 21:47:06
420,0.61145,0.686,0.53601,0.08323416,0.32516164,0.05071793,2025-03-21 21:48:09
560,0.61038,0.68928,0.53422,0.069891684,0.27745745,0.042145904,2025-03-21 21:49:13
700,0.60807,0.6926,0.53346,0.061186336,0.24437487,0.03674882,2025-03-21 21:50:16
840,0.60423,0.69333,0.52842,0.054856773,0.21932015,0.03292472,2025-03-21 21:51:21
980,0.60366,0.69543,0.52743,0.05008709,0.20019431,0.030067617,2025-03-21 21:52:25
1120,0.60175,0.69542,0.52335,0.04636066,0.18520153,0.02784048,2025-03-21 21:53:28
1260,0.60299,0.69828,0.52413,0.04329999,0.17301421,0.025998533,2025-03-21 21:54:32
1400,0.60227,0.69798,0.52222,0.04077695,0.1628677,0.024490146,2025-03-21 21:55:35
1540,0.60238,0.69795,0.52183,0.038610224,0.15404442,0.023205737,2025-03-21 21:56:38
1680,0.60193,0.69822,0.52145,0.03673205,0.14626041,0.022105962,2025-03-21 21:57:41
1820,0.60089,0.69583,0.51736,0.035074178,0.13934176,0.021139955,2025-03-21 21:58:43
1960,0.60113,0.69618,0.51775,0.03360953,0.13317774,0.020291725,2025-03-21 21:59:46
2100,0.6,0.69572,0.51677,0.032297626,0.12765163,0.019532437,2025-03-21 22:00:49
2240,0.59987,0.69535,0.51596,0.031119877,0.12267888,0.018851986,2025-03-21 22:01:52
2380,0.60004,0.69548,0.5161,0.030054709,0.11818193,0.018236518,2025-03-21 22:02:54
2520,0.59995,0.6955,0.51606,0.029087462,0.114096396,0.01767786,2025-03-21 22:03:57
2660,0.59993,0.69558,0.51604,0.028206153,0.11037062,0.017169142,2025-03-21 22:05:02
2800,0.60013,0.69562,0.51622,0.027401287,0.10696317,0.016705018,2025-03-21 22:06:05
2940,0.59996,0.6956,0.51605,0.026664488,0.103837974,0.01628073,2025-03-21 22:07:09
3080,0.60005,0.69562,0.51607,0.025988631,0.10096526,0.015892135,2025-03-21 22:08:11
