iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.69799,0.71618,0.59458,0.0920021,0.15462402,0.014690079,2025-03-19 13:40:58
280,0.70333,0.72355,0.6014,0.1052306,0.1752074,0.017626889,2025-03-19 13:42:25
420,0.71059,0.73147,0.60771,0.114898525,0.18972512,0.020035904,2025-03-19 13:43:53
560,0.71266,0.7375,0.60904,0.12160523,0.19919227,0.022009075,2025-03-19 13:45:22
700,0.71409,0.74387,0.61225,0.12609252,0.20490879,0.023638139,2025-03-19 13:46:50
840,0.71579,0.7476,0.61585,0.1288296,0.20795664,0.02485127,2025-03-19 13:48:19
980,0.71557,0.74767,0.61664,0.13034445,0.209355,0.025666945,2025-03-19 13:49:47
1120,0.71652,0.74827,0.6183,0.13106044,0.20974202,0.026189357,2025-03-19 13:51:13
1260,0.71722,0.7482,0.61903,0.1312949,0.20960188,0.026493944,2025-03-19 13:52:39
1400,0.71806,0.74825,0.61979,0.13120745,0.20911838,0.026648205,2025-03-19 13:54:06
1540,0.71879,0.74942,0.62129,0.13089165,0.20837973,0.026701823,2025-03-19 13:55:35
1680,0.71937,0.75062,0.62263,0.13041167,0.20745164,0.026685894,2025-03-19 13:57:03
1820,0.71978,0.75112,0.62315,0.12981665,0.20638938,0.02662201,2025-03-19 13:58:30
1960,0.71992,0.75153,0.62365,0.12915006,0.2052595,0.026520327,2025-03-19 13:59:58
2100,0.72011,0.7518,0.62405,0.12841903,0.2040623,0.0263879,2025-03-19 14:01:25
2240,0.72033,0.75242,0.6247,0.12763639,0.20280303,0.02623482,2025-03-19 14:02:54
2380,0.72038,0.75283,0.62512,0.12682246,0.20151296,0.026065888,2025-03-19 14:04:22
2520,0.72039,0.7531,0.62542,0.12599002,0.20020804,0.02588591,2025-03-19 14:05:49
2660,0.72053,0.75343,0.62574,0.12515019,0.19889988,0.025700187,2025-03-19 14:07:17
2800,0.72081,0.75385,0.62621,0.12431135,0.19759694,0.025512826,2025-03-19 14:08:44
2940,0.72082,0.75387,0.62636,0.12347916,0.19630633,0.025325907,2025-03-19 14:10:12
3080,0.7208,0.7541,0.62671,0.12265982,0.19503425,0.025142597,2025-03-19 14:11:41
3220,0.72111,0.75413,0.62697,0.12185632,0.19377975,0.024966374,2025-03-19 14:13:09
3360,0.72116,0.75452,0.62719,0.12106672,0.19253728,0.024798058,2025-03-19 14:14:39
3500,0.72087,0.75483,0.62721,0.12027951,0.19129631,0.02463128,2025-03-19 14:16:07
3640,0.72087,0.75497,0.62738,0.119499646,0.19006905,0.02446507,2025-03-19 14:17:34
3780,0.72079,0.75502,0.62739,0.11872877,0.1888584,0.024299528,2025-03-19 14:19:02
3920,0.7207,0.7553,0.62761,0.11796811,0.18766461,0.024135806,2025-03-19 14:20:30
