iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.61947,0.7142,0.53475,0.08378717,0.3381583,0.04997127,2025-03-21 22:14:57
280,0.61444,0.70723,0.52461,0.059167147,0.21242473,0.037924636,2025-03-21 22:16:01
420,0.60767,0.705,0.51931,0.050788336,0.174086,0.033379707,2025-03-21 22:17:05
560,0.60449,0.69955,0.51278,0.045345012,0.15079637,0.030265344,2025-03-21 22:18:09
700,0.60001,0.6929,0.50385,0.041522432,0.13491915,0.028030477,2025-03-21 22:19:12
840,0.59781,0.69143,0.50285,0.03861381,0.122968525,0.026316937,2025-03-21 22:20:15
980,0.5973,0.69125,0.50334,0.036312815,0.113551244,0.024957683,2025-03-21 22:21:20
1120,0.59563,0.68982,0.50162,0.034412395,0.105858065,0.02382658,2025-03-21 22:22:24
1260,0.59384,0.68767,0.49697,0.032819062,0.0995215,0.022866892,2025-03-21 22:23:29
1400,0.5926,0.68715,0.4967,0.031416103,0.09406841,0.022009233,2025-03-21 22:24:33
1540,0.59001,0.68487,0.49274,0.030204391,0.08933576,0.021270776,2025-03-21 22:25:38
1680,0.59019,0.68458,0.49294,0.029151255,0.0852127,0.02062995,2025-03-21 22:26:42
1820,0.58888,0.6838,0.49127,0.028206674,0.08152645,0.020053994,2025-03-21 22:27:46
1960,0.58878,0.68368,0.49153,0.027361015,0.07822393,0.019538593,2025-03-21 22:28:50
2100,0.58807,0.68328,0.49093,0.026595237,0.075238235,0.019071387,2025-03-21 22:29:55
2240,0.58765,0.68292,0.49053,0.025896456,0.07252324,0.018644111,2025-03-21 22:30:59
2380,0.58716,0.6826,0.48993,0.025261221,0.07004711,0.018256497,2025-03-21 22:32:03
2520,0.58699,0.68258,0.49014,0.024675686,0.06777322,0.01789835,2025-03-21 22:33:05
2660,0.58654,0.68258,0.49012,0.02413619,0.06568035,0.01756813,2025-03-21 22:34:07
2800,0.58633,0.6826,0.49029,0.023639938,0.06375101,0.017264804,2025-03-21 22:35:10
2940,0.58596,0.68247,0.49023,0.023182273,0.061969586,0.016985284,2025-03-21 22:36:13
3080,0.58588,0.68238,0.49035,0.022760512,0.06032289,0.016728206,2025-03-21 22:37:16
3220,0.58565,0.68222,0.49006,0.022371469,0.058799766,0.016491484,2025-03-21 22:38:18
